id;level;jobs;pop
1;basis;13083;32292
1;model3;15154;48831
2;basis;8944;26792
2;model3;33735;87631
3;basis;7917;22802
3;model3;12335;31105
4;basis;9925;41025
4;model3;24125;86172
5;basis;9633;40605
5;model3;13897;48579
8;basis;8944;26792
6;basis;5892;30122
6;model3;8076;41197
7;basis;13507;43214
7;model3;29056;80235
8;model3;33735;87631
9;basis;63365;93116
9;model3;79950;126862
10;basis;6010;13357
10;model3;6010;13357
11;basis;20942;37662
11;model3;36634;67612
12;basis;6943;37905
12;model3;12787;52727
13;basis;46056;106872
13;model3;57328;131569
14;basis;8161;32239
14;model3;16824;58106
15;basis;61275;30140
15;model3;90250;55886
16;basis;76363;50778
16;model3;81625;62365
17;basis;5212;9014
17;model3;5212;9014
18;basis;10982;18887
18;model3;16071;31397
19;basis;5539;14849
19;model3;6281;19285
20;basis;44638;16301
20;model3;49145;25189
21;basis;24185;11055
21;model3;26072;19064
22;basis;37699;12402
22;model3;102427;27004
23;basis;20811;57156
23;model3;23705;62221
24;basis;17036;31787
24;model3;22197;37297
25;basis;348;3152
25;model3;348;3152
26;basis;12548;51293
26;model3;26530;90256
27;basis;26025;64146
27;model3;45608;97401
28;basis;81922;134669
28;model3;178821;227661
29;basis;1222;8311
29;model3;5950;24964
30;basis;11668;39349
30;model3;15399;51238
31;basis;32707;63993
31;model3;39225;89783
32;basis;8018;28261
32;model3;22235;76872
34;basis;76986;154843
34;model3;108347;214727
35;basis;8066;25350
35;model3;8066;25350
36;basis;563;5625
36;model3;563;5625
37;basis;2152;24675
37;model3;2771;27365
38;basis;31441;62824
38;model3;40036;79152
39;basis;10448;36817
39;model3;16510;48061
40;basis;8776;26825
40;model3;15988;44145
41;basis;9663;42057
41;model3;11000;43927
42;basis;6165;7686
42;model3;13986;24747
43;basis;15388;34379
43;model3;25230;37381
44;basis;7064;31082
44;model3;9462;59911
45;basis;11014;38998
45;model3;14634;50953
46;basis;0;3145
46;model3;0;3145
